00055091.png,17.93,0.34,0.535,0.0,1
00055092.png,17.91,0.34,0.55,0.0,1
00055093.png,17.89,0.34,0.56,0.0,2
00055094.png,17.89,0.34,0.56,0.0,2
00055095.png,17.88,0.34,0.5700000000000001,0.0,2
00055096.png,17.85,0.34,0.585,0.0,2
00055097.png,17.83,0.35,0.59,0.0,2
00055098.png,17.78,0.35,0.615,0.0,2
00055099.png,17.78,0.35,0.615,0.0,2
00055100.png,17.76,0.35,0.62,0.0,2
00055101.png,17.75,0.35,0.625,0.0,2
00055102.png,17.73,0.36,0.635,0.0,2
00055103.png,17.71,0.36,0.645,0.0,2
00055104.png,17.71,0.36,0.645,0.0,2
00055105.png,17.72,0.36,0.64,0.0,2
00055106.png,17.72,0.36,0.645,0.0,2
00055107.png,17.72,0.36,0.65,0.0,2
00055108.png,17.74,0.36,0.65,0.0,2
00055109.png,17.74,0.36,0.65,0.0,2
00055110.png,17.74,0.36,0.655,0.0,2
00055111.png,17.76,0.36,0.65,0.0,2
00055112.png,17.76,0.36,0.655,0.0,2
00055113.png,17.76,0.36,0.66,0.0,2
00055114.png,17.76,0.36,0.665,0.0,2
00055115.png,17.78,0.36,0.66,0.0,2
00055116.png,17.78,0.36,0.66,0.0,2
00055117.png,17.78,0.36,0.665,0.0,2
00055118.png,17.77,0.36,0.67,0.0,2
00055119.png,17.77,0.36,0.67,0.0,2
00055120.png,17.78,0.36,0.67,0.0,2
00055121.png,17.78,0.36,0.67,0.0,2
00055122.png,17.78,0.36,0.675,0.0,2
00055123.png,17.77,0.36,0.6799999999999999,0.0,2
00055124.png,17.79,0.36,0.67,0.0,2
00055125.png,17.78,0.36,0.6799999999999999,0.0,2
00055126.png,17.78,0.36,0.6799999999999999,0.0,2
00055127.png,17.79,0.36,0.675,0.0,2
00055128.png,17.79,0.36,0.675,0.0,2
00055129.png,17.78,0.36,0.685,0.0,2
00055130.png,17.77,0.36,0.685,0.0,2
00055131.png,17.77,0.36,0.69,0.0,2
00055132.png,17.77,0.36,0.69,0.0,2
00055133.png,17.75,0.36,0.6950000000000001,0.0,2
00055134.png,17.76,0.36,0.69,0.0,2
00055135.png,17.77,0.36,0.685,0.0,2
00055136.png,17.78,0.36,0.685,0.0,2
00055137.png,17.84,0.36,0.665,0.0,2
00055138.png,17.84,0.36,0.665,0.0,2
00055139.png,17.86,0.36,0.665,0.0,2
00055140.png,17.89,0.35,0.655,0.0,2
00055141.png,17.92,0.35,0.645,0.0,2
00055142.png,17.94,0.35,0.64,0.0,2
00055143.png,17.97,0.35,0.63,0.0,2
00055144.png,17.99,0.34,0.63,0.0,2
00055145.png,18.01,0.34,0.62,0.0,2
00055146.png,18.02,0.34,0.615,0.0,2
00055147.png,18.04,0.34,0.605,0.0,2
